symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,15346.606708547128,USDJPY,9525144.185523732,158.80450000000002,159.06650000000002,15714.842945931912,368.23623738478443,96,eod,,159.2809135,pre_ret=-0.088% rank=2/6 (weakest) vol=0.00038 wt=0.43 notional_x=9.5x,round_2,2026-05-18 22:00:00,LONG,9.53,0.165,1.5347,1440,Held to round-end (EOD)
GBPUSD,-1,coc,2026-05-19 08:15:00,2026-05-19 22:00:00,-2276.1015630356064,GBPUSD,5724188.279546214,1.3395800000000002,1.3397350000000001,-662.3338533936369,1613.7677096419695,55,eod,,1.3355612600000002,pre_ret=+0.526% rank=6/6 (strongest) vol=0.00063 wt=0.26 notional_x=5.7x [re-entry after TP],round_2,2026-05-18 22:00:00,SHORT,5.72,-0.0116,-0.2276,825,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,126.80207359253103,AUDUSD,5621424.381562392,0.7151750000000001,0.7151400000000001,275.1072861253716,148.30521253284059,96,finals_bank,,0.7130294750000001,pre_ret=+0.516% rank=6/6 (strongest) vol=0.00065 wt=0.26 notional_x=5.6x,finals,2026-05-20 22:00:00,SHORT,5.62,0.0049,0.0127,1440,Banked at Finals +24h profit-take
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,21988.57988675051,USDCAD,9363025.312555678,1.374495,1.37776,22241.0977453494,252.51785859888906,96,finals_bank,,1.3786184849999998,pre_ret=-0.220% rank=2/6 (weakest) vol=0.00039 wt=0.43 notional_x=9.4x,finals,2026-05-20 22:00:00,LONG,9.36,0.2375,2.1989,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-4812.212712156207,USDCHF,7015550.305881928,0.7869200000000001,0.786675,-2184.2243492877947,2627.9883628684124,96,finals_bank,,0.78928076,pre_ret=-0.382% rank=1/6 (weakest) vol=0.00052 wt=0.32 notional_x=7.0x,finals,2026-05-20 22:00:00,LONG,7.02,-0.0311,-0.4812,1440,Banked at Finals +24h profit-take
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,4922884.206866849,0.715775,0.71736,-10901.151154879599,129.64819035875152,96,eod,,0.713627675,pre_ret=+0.372% rank=6/6 (strongest) vol=0.00067 wt=0.22 notional_x=4.9x,round_1,2026-05-24 22:00:00,SHORT,4.92,-0.2214,-1.1031,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,10876399.562284783,158.88049999999998,158.91950000000003,2669.8026688576356,270.18163872631794,96,eod,,159.35714149999995,pre_ret=-0.149% rank=2/6 (weakest) vol=0.00030 wt=0.49 notional_x=10.9x,round_1,2026-05-24 22:00:00,LONG,10.88,0.0245,0.24,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,6200716.230848368,0.7827550000000001,0.78277,118.82484744492724,329.575795844436,96,eod,,0.785103265,pre_ret=-0.205% rank=1/6 (weakest) vol=0.00053 wt=0.28 notional_x=6.2x,round_1,2026-05-24 22:00:00,LONG,6.2,0.0019,-0.0211,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-13824.21703593423,USDCHF,3775062.4375680415,0.78277,0.785595,-13624.11868892529,200.09834700894157,96,eod,,0.78042169,pre_ret=+0.190% rank=6/6 (strongest) vol=0.00028 wt=0.17 notional_x=3.8x,round_2,2026-05-25 22:00:00,SHORT,3.78,-0.3609,-1.3824,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,27616.55549785399,USDJPY,11921109.158608232,158.91950000000003,159.2905,27830.011407306665,213.4559094526743,96,eod,,159.39625850000002,pre_ret=-0.025% rank=2/6 (weakest) vol=0.00009 wt=0.54 notional_x=11.9x,round_2,2026-05-25 22:00:00,LONG,11.92,0.2335,2.7617,1440,Held to round-end (EOD)
