symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,65.56562234961503,AUDUSD,2906673.192528516,0.7151750000000001,0.7151400000000001,142.2498853266865,76.68426297707147,96,finals_bank,,0.7137446500000001,pre_ret=+0.516% rank=6/6 (strongest) vol=0.00065 wt=0.13 notional_x=2.9x,finals,2026-05-20 22:00:00,SHORT,2.91,0.0049,0.0066,1440,Banked at Finals +24h profit-take
GBPUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,1941.1357409367893,GBPUSD,3868825.71318926,1.343755,1.343055,2015.3807794070667,74.24503847027738,96,finals_bank,,1.3410674900000001,pre_ret=+0.374% rank=5/6 (strongest) vol=0.00049 wt=0.18 notional_x=3.9x,finals,2026-05-20 22:00:00,SHORT,3.87,0.0521,0.1941,1440,Banked at Finals +24h profit-take
USDJPY,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,6939.112090979959,USDJPY,6755621.420642988,158.8395,159.00549999999998,7060.165486713475,121.05339573351576,96,finals_bank,,159.15717899999999,pre_ret=-0.117% rank=3/6 (weakest) vol=0.00028 wt=0.31 notional_x=6.8x,finals,2026-05-20 22:00:00,LONG,6.76,0.1045,0.6939,1440,Banked at Finals +24h profit-take
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,11369.64786153106,USDCAD,4841344.974101998,1.374495,1.37776,11500.217418355749,130.569556824688,96,finals_bank,,1.37724399,pre_ret=-0.220% rank=2/6 (weakest) vol=0.00039 wt=0.22 notional_x=4.8x,finals,2026-05-20 22:00:00,LONG,4.84,0.2375,1.137,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-2488.253641380792,USDCHF,3627534.6995372367,0.7869200000000001,0.786675,-1129.3981616770075,1358.8554797037848,96,finals_bank,,0.7884938400000001,pre_ret=-0.382% rank=1/6 (weakest) vol=0.00052 wt=0.16 notional_x=3.6x,finals,2026-05-20 22:00:00,LONG,3.63,-0.0311,-0.2488,1440,Banked at Finals +24h profit-take
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-6166.546114068693,AUDUSD,2752039.2245163224,0.715775,0.71736,-6094.068905533673,72.47720853501959,96,eod,,0.7143434500000001,pre_ret=+0.372% rank=6/6 (strongest) vol=0.00067 wt=0.13 notional_x=2.8x,round_1,2026-05-24 22:00:00,SHORT,2.75,-0.2214,-0.6167,1440,Held to round-end (EOD)
EURUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-1434.4296191286128,EURUSD,3313147.1181543577,1.1636350000000002,1.1641150000000002,-1366.6747878107603,67.75483131785255,96,eod,,1.16130773,pre_ret=+0.284% rank=5/6 (strongest) vol=0.00056 wt=0.15 notional_x=3.3x,round_1,2026-05-24 22:00:00,SHORT,3.31,-0.0413,-0.1434,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-1236.3372092105524,USDCAD,6388196.160465509,1.3805800000000001,1.38035,-1064.2520657319521,172.08514347860023,96,eod,,1.38334116,pre_ret=+0.145% rank=3/6 (weakest) vol=0.00029 wt=0.29 notional_x=6.4x,round_1,2026-05-24 22:00:00,LONG,6.39,-0.0167,-0.1236,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,1341.4597868631663,USDJPY,6080232.026414078,158.88049999999998,158.91950000000003,1492.499388095663,151.0396012324968,96,eod,,159.19826099999997,pre_ret=-0.149% rank=2/6 (weakest) vol=0.00030 wt=0.28 notional_x=6.1x,round_1,2026-05-24 22:00:00,LONG,6.08,0.0245,0.1341,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-117.816071275948,USDCHF,3466385.470449735,0.7827550000000001,0.78277,66.42663675888743,184.24270803483543,96,eod,,0.7843205100000001,pre_ret=-0.205% rank=1/6 (weakest) vol=0.00053 wt=0.16 notional_x=3.5x,round_1,2026-05-24 22:00:00,LONG,3.47,0.0019,-0.0118,1440,Held to round-end (EOD)
GBPUSD,-1,coc,2026-05-25 22:00:00,2026-05-26 05:45:00,8017.626897821257,GBPUSD,3767107.0124830795,1.3504150000000001,1.347515,8089.817083045863,72.19018522460574,31,coc_tp,,1.3477141700000002,pre_ret=+0.090% rank=5/6 (strongest) vol=0.00019 wt=0.17 notional_x=3.8x,round_2,2026-05-25 22:00:00,SHORT,3.77,0.2147,0.8018,465,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDJPY,1,coc,2026-05-25 22:00:00,2026-05-26 13:00:00,16305.909183945521,USDJPY,7896677.098019887,158.91950000000003,159.2505,16447.321564969796,141.4123810242739,60,coc_tp,,159.23733900000002,pre_ret=-0.025% rank=2/6 (weakest) vol=0.00009 wt=0.36 notional_x=7.9x,round_2,2026-05-25 22:00:00,LONG,7.9,0.2083,1.6306,900,"COC take-profit hit (+0.30% price move) — banked, re-entering"
GBPUSD,-1,coc,2026-05-26 06:00:00,2026-05-26 15:00:00,8984.462342686797,GBPUSD,3767107.0124830795,1.3476650000000001,1.3444250000000002,9056.721603992715,72.25926130591898,36,coc_tp,,1.34496967,pre_ret=+0.090% rank=5/6 (strongest) vol=0.00019 wt=0.17 notional_x=3.8x [re-entry after TP],round_2,2026-05-25 22:00:00,SHORT,3.77,0.2404,0.8984,540,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-9157.317210445128,USDCHF,2500643.916410459,0.78277,0.785595,-9024.769809598945,132.5474008461827,96,eod,,0.78120446,pre_ret=+0.190% rank=6/6 (strongest) vol=0.00028 wt=0.11 notional_x=2.5x,round_2,2026-05-25 22:00:00,SHORT,2.5,-0.3609,-0.9157,1440,Held to round-end (EOD)
EURUSD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-2935.804154477435,EURUSD,3659844.972853844,1.1641150000000002,1.163205,-2860.936355340787,74.86779913664805,96,eod,,1.1664432300000003,pre_ret=-0.020% rank=3/6 (weakest) vol=0.00019 wt=0.17 notional_x=3.7x,round_2,2026-05-25 22:00:00,LONG,3.66,-0.0782,-0.2936,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,1929.5009946347698,USDCAD,4175727.0002327305,1.38035,1.3810250000000002,2041.9572754433068,112.45628080853704,96,eod,,1.3831107,pre_ret=-0.053% rank=1/6 (weakest) vol=0.00017 wt=0.19 notional_x=4.2x,round_2,2026-05-25 22:00:00,LONG,4.18,0.0489,0.193,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-26 13:15:00,2026-05-26 22:00:00,1321.310111159475,USDJPY,7896677.098019887,159.26100000000002,159.2905,1462.7057119534475,141.39560079397256,35,eod,,159.57952200000003,pre_ret=-0.025% rank=2/6 (weakest) vol=0.00009 wt=0.36 notional_x=7.9x [re-entry after TP],round_2,2026-05-25 22:00:00,LONG,7.9,0.0185,0.1321,525,Held to round-end (EOD)
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,16239.195973277856,USDCHF,4122994.987174605,0.786875,0.7837450000000001,16400.285064153813,161.08909087595717,96,finals_bank,,0.78530125,pre_ret=+0.123% rank=6/6 (strongest) vol=0.00051 wt=0.19 notional_x=4.1x,finals,2026-05-27 22:00:00,SHORT,4.12,0.3978,1.6239,1440,Banked at Finals +24h profit-take
USDCAD,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,20863.377776542453,USDCAD,5463701.327034367,1.3837050000000002,1.378395,20967.08044456956,103.70266802710739,96,finals_bank,,1.3809375900000003,pre_ret=+0.109% rank=5/6 (strongest) vol=0.00039 wt=0.25 notional_x=5.5x,finals,2026-05-27 22:00:00,SHORT,5.46,0.3838,2.0863,1440,Banked at Finals +24h profit-take
