open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-24 04:00:04.595000+00:00,2026-06-24 04:00:05.605000+00:00,1.01,62702.167,62702.233,1.0,long,-4.48,0.06599999999889405
2026-06-24 04:00:09.654000+00:00,2026-06-24 04:00:32.645000+00:00,22.991,62696.791,62660.346,1.0,long,0.27,-36.44499999999971
2026-06-24 04:00:36.095000+00:00,2026-06-24 04:00:40.145000+00:00,4.05,62661.623,62671.497,1.0,long,6.29,9.874000000003434
2026-06-24 04:00:47.195000+00:00,2026-06-24 04:00:52.475000+00:00,5.28,62671.428,62668.7,1.0,short,2.65,2.728000000002794
2026-06-24 04:00:56.703000+00:00,2026-06-24 04:00:58.335000+00:00,1.6320000000000001,62657.888,62668.574,1.0,long,5.86,10.686000000001513
2026-06-24 04:01:00.775000+00:00,2026-06-24 04:01:01.825000+00:00,1.05,62660.746,62659.988,1.0,long,-3.98,-0.7580000000016298
2026-06-24 04:01:02.074000+00:00,2026-06-24 04:01:06.135000+00:00,4.061,62659.964,62668.659,1.0,long,6.2,8.694999999999709
2026-06-24 04:01:10.985000+00:00,2026-06-24 04:01:22.295000+00:00,11.31,62669.243,62672.699,1.0,short,-0.16,-3.455999999998312
2026-06-24 04:01:26.355000+00:00,2026-06-24 04:01:30.414000+00:00,4.059,62673.81,62676.709,1.0,short,-0.4,-2.8990000000048894
2026-06-24 04:01:34.474000+00:00,2026-06-24 04:02:09.355000+00:00,34.881,62676.781,62695.575,1.0,short,0.8,-18.793999999994412
2026-06-24 04:02:17.205000+00:00,2026-06-24 04:02:21.255000+00:00,4.05,62695.88,62688.8,1.0,short,7.08,7.07999999999447
2026-06-24 04:02:32.715000+00:00,2026-06-24 04:02:40.373000+00:00,7.658,62713.215,62695.637,1.0,long,7.06,-17.577999999994063
2026-06-24 04:02:45.414000+00:00,2026-06-24 04:02:54.896000+00:00,9.482,62702.623,62701.356,1.0,short,1.35,1.2669999999998254
2026-06-24 04:02:59.533000+00:00,2026-06-24 04:03:01.383000+00:00,1.85,62696.701,62697.1,1.0,long,0.4,0.3989999999976135
2026-06-24 04:03:05.453000+00:00,2026-06-24 04:03:21.641000+00:00,16.188,62689.111,62655.763,1.0,long,-7.46,-33.34799999999814
2026-06-24 04:03:23.093000+00:00,2026-06-24 04:03:27.153000+00:00,4.06,62649.715,62657.987,1.0,long,5.22,8.272000000004482
2026-06-24 04:03:29.965000+00:00,2026-06-24 04:03:33.823000+00:00,3.858,62653.743,62656.771,1.0,long,3.03,3.0279999999984284
2026-06-24 04:03:37.863000+00:00,2026-06-24 04:03:38.483000+00:00,0.62,62654.237,62655.171,1.0,long,0.53,0.934000000001106
2026-06-24 04:03:39.733000+00:00,2026-06-24 04:03:43.374000+00:00,3.641,62652.132,62659.259,1.0,long,2.86,7.1270000000004075
2026-06-24 04:03:44.813000+00:00,2026-06-24 04:03:48.872000+00:00,4.059,62660.387,62660.649,1.0,long,0.26,0.26199999999516876
2026-06-24 04:03:57.123000+00:00,2026-06-24 04:04:13.502000+00:00,16.379,62652.601,62648.488,1.0,long,7.42,-4.113000000004831
2026-06-24 04:04:17.945000+00:00,2026-06-24 04:04:18.795000+00:00,0.85,62656.846,62626.866,1.0,short,29.98,29.979999999995925
2026-06-24 04:04:22.844000+00:00,2026-06-24 04:04:34.385000+00:00,11.541,62629.956,62608.921,1.0,short,9.12,21.034999999996217
2026-06-24 04:04:38.425000+00:00,2026-06-24 04:04:42.455000+00:00,4.03,62606.901,62607.342,1.0,short,-0.88,-0.44099999999889405
2026-06-24 04:04:46.499000+00:00,2026-06-24 04:04:48.334000+00:00,1.835,62614.644,62587.373,1.0,short,7.04,27.27100000000064
2026-06-24 04:04:52.375000+00:00,2026-06-24 04:05:03.345000+00:00,10.97,62591.588,62591.782,1.0,short,7.62,-0.19399999999586726
2026-06-24 04:05:04.984000+00:00,2026-06-24 04:05:05.425000+00:00,0.441,62591.958,62592.116,1.0,short,-0.16,-0.158000000003085
2026-06-24 04:05:09.475000+00:00,2026-06-24 04:05:18.165000+00:00,8.69,62605.289,62594.467,1.0,short,12.13,10.822000000000116
2026-06-24 04:05:19.605000+00:00,2026-06-24 04:05:23.653000+00:00,4.048,62591.897,62597.392,1.0,long,5.5,5.495000000002619
2026-06-24 04:05:30.923000+00:00,2026-06-24 04:06:14.702000+00:00,43.779,62598.394,62617.575,1.0,short,2.79,-19.180999999996857
2026-06-24 04:06:19.533000+00:00,2026-06-24 04:06:22.393000+00:00,2.86,62618.991,62617.468,1.0,long,-1.52,-1.5230000000010477
2026-06-24 04:06:26.423000+00:00,2026-06-24 04:06:38.705000+00:00,12.282,62643.478,62620.39,1.0,long,2.97,-23.088000000003376
2026-06-24 04:06:42.755000+00:00,2026-06-24 04:06:58.525000+00:00,15.77,62646.059,62617.881,1.0,long,0.0,-28.177999999999884
2026-06-24 04:06:58.685000+00:00,2026-06-24 04:07:01.755000+00:00,3.07,62617.867,62617.698,1.0,long,-0.17,-0.16900000000168802
2026-06-24 04:07:05.836000+00:00,2026-06-24 04:07:08.475000+00:00,2.6390000000000002,62617.674,62618.459,1.0,long,-0.09,0.7850000000034925
2026-06-24 04:07:09.101000+00:00,2026-06-24 04:07:10.945000+00:00,1.8439999999999999,62618.273,62620.014,1.0,long,-0.75,1.7410000000018044
2026-06-24 04:07:14.994000+00:00,2026-06-24 04:07:48.165000+00:00,33.171,62619.273,62617.971,1.0,long,0.77,-1.3020000000033178
2026-06-24 04:07:52.184000+00:00,2026-06-24 04:07:54.015000+00:00,1.831,62619.63,62621.048,1.0,long,0.59,1.4180000000051223
2026-06-24 04:07:58.064000+00:00,2026-06-24 04:07:59.692000+00:00,1.6280000000000001,62620.992,62620.99,1.0,long,-0.73,-0.0020000000004074536
2026-06-24 04:08:03.763000+00:00,2026-06-24 04:08:11.232000+00:00,7.469,62645.854,62618.274,1.0,long,1.07,-27.580000000001746
2026-06-24 04:08:11.873000+00:00,2026-06-24 04:08:13.904000+00:00,2.031,62618.214,62617.953,1.0,long,-2.76,-0.260999999998603
2026-06-24 04:08:17.954000+00:00,2026-06-24 04:08:47.693000+00:00,29.739,62647.675,62601.321,1.0,long,1.13,-46.35399999999936
2026-06-24 04:08:49.113000+00:00,2026-06-24 04:08:52.173000+00:00,3.06,62601.394,62606.913,1.0,long,5.52,5.519000000000233
2026-06-24 04:08:52.402000+00:00,2026-06-24 04:08:53.243000+00:00,0.841,62606.971,62607.484,1.0,long,-2.64,0.5129999999990105
2026-06-24 04:08:54.482000+00:00,2026-06-24 04:08:55.713000+00:00,1.231,62608.111,62605.908,1.0,long,-5.35,-2.202999999994063
2026-06-24 04:08:59.765000+00:00,2026-06-24 04:09:09.925000+00:00,10.16,62597.983,62594.948,1.0,long,6.08,-3.0350000000034925
2026-06-24 04:09:11.974000+00:00,2026-06-24 04:09:16.025000+00:00,4.051,62596.46,62601.452,1.0,long,1.65,4.99199999999837
2026-06-24 04:09:19.465000+00:00,2026-06-24 04:09:19.898000+00:00,0.433,62602.842,62603.476,1.0,short,-0.63,-0.6340000000054715
2026-06-24 04:09:23.948000+00:00,2026-06-24 04:09:34.259000+00:00,10.311,62602.691,62606.512,1.0,short,0.18,-3.8210000000035507
2026-06-24 04:09:36.895000+00:00,2026-06-24 04:09:40.955000+00:00,4.06,62603.642,62608.829,1.0,long,5.19,5.186999999998079
2026-06-24 04:09:45.175000+00:00,2026-06-24 04:09:48.444000+00:00,3.269,62608.767,62610.54,1.0,long,1.72,1.7730000000010477
2026-06-24 04:09:52.294000+00:00,2026-06-24 04:09:52.725000+00:00,0.431,62611.563,62611.496,1.0,long,-0.07,-0.06700000000273576
2026-06-24 04:09:56.783000+00:00,2026-06-24 04:10:01.525000+00:00,4.742,62586.275,62593.923,1.0,long,4.64,7.648000000001048
