,equity
2026-06-24 05:31:55+00:00,1004764.8600000747
2026-06-24 05:32:00+00:00,1004764.8500000747
2026-06-24 05:32:05+00:00,1004768.8500000747
2026-06-24 05:32:10+00:00,1004767.6500000748
2026-06-24 05:32:15+00:00,1004767.6700000748
2026-06-24 05:32:20+00:00,1004767.6700000748
2026-06-24 05:32:25+00:00,1004767.6800000748
2026-06-24 05:32:30+00:00,1004767.6800000748
2026-06-24 05:32:35+00:00,1004767.6800000748
2026-06-24 05:32:37+00:00,1004766.4800000748
2026-06-24 05:32:40+00:00,1004771.9800000748
2026-06-24 05:32:45+00:00,1004771.3600000748
2026-06-24 05:32:50+00:00,1004771.3600000748
2026-06-24 05:32:55+00:00,1004771.3500000748
2026-06-24 05:33:00+00:00,1004770.1500000749
2026-06-24 05:33:05+00:00,1004770.9800000748
2026-06-24 05:33:10+00:00,1004770.9800000748
2026-06-24 05:33:15+00:00,1004770.9800000748
2026-06-24 05:33:20+00:00,1004770.9800000748
2026-06-24 05:33:25+00:00,1004770.9800000748
2026-06-24 05:33:30+00:00,1004770.9800000748
2026-06-24 05:33:35+00:00,1004770.9900000748
2026-06-24 05:33:40+00:00,1004776.4900000748
2026-06-24 05:33:42+00:00,1004775.2900000749
2026-06-24 05:33:47+00:00,1004775.2800000749
2026-06-24 05:33:52+00:00,1004777.2800000749
2026-06-24 05:33:57+00:00,1004777.2800000749
2026-06-24 05:34:02+00:00,1004777.2800000749
2026-06-24 05:34:07+00:00,1004777.2800000749
2026-06-24 05:34:12+00:00,1004777.2800000749
2026-06-24 05:34:14+00:00,1004776.0800000749
2026-06-24 05:34:17+00:00,1004781.5800000749
2026-06-24 05:34:22+00:00,1004781.5900000749
2026-06-24 05:34:27+00:00,1004783.5900000749
2026-06-24 05:34:32+00:00,1004783.5800000749
2026-06-24 05:34:37+00:00,1004787.5600000749
2026-06-24 05:34:41+00:00,1004793.0600000749
2026-06-24 05:34:46+00:00,1004793.0600000749
2026-06-24 05:34:51+00:00,1004798.5600000749
2026-06-24 05:34:56+00:00,1004798.5600000749
2026-06-24 05:35:01+00:00,1004798.5700000749
2026-06-24 05:35:04+00:00,1004797.370000075
2026-06-24 05:35:09+00:00,1004797.380000075
2026-06-24 05:35:14+00:00,1004797.390000075
2026-06-24 05:35:19+00:00,1004798.630000075
2026-06-24 05:35:21+00:00,1004797.430000075
2026-06-24 05:35:26+00:00,1004797.430000075
2026-06-24 05:35:28+00:00,1004796.2300000751
2026-06-24 05:35:33+00:00,1004796.2300000751
2026-06-24 05:35:38+00:00,1004795.690000075
2026-06-24 05:35:43+00:00,1004795.690000075
2026-06-24 05:35:48+00:00,1004795.690000075
2026-06-24 05:35:53+00:00,1004795.690000075
2026-06-24 05:35:58+00:00,1004794.4900000751
2026-06-24 05:36:02+00:00,1004799.9900000751
2026-06-24 05:36:07+00:00,1004799.9900000751
2026-06-24 05:36:12+00:00,1004799.9900000751
2026-06-24 05:36:17+00:00,1004799.9900000751
2026-06-24 05:36:22+00:00,1004799.9800000751
2026-06-24 05:36:27+00:00,1004799.9800000751
2026-06-24 05:36:32+00:00,1004799.1500000751
2026-06-24 05:36:37+00:00,1004799.1500000751
2026-06-24 05:36:40+00:00,1004804.6500000751
2026-06-24 05:36:44+00:00,1004803.4500000752
2026-06-24 05:36:47+00:00,1004808.9500000752
2026-06-24 05:36:51+00:00,1004807.7500000752
2026-06-24 05:36:54+00:00,1004813.2500000752
2026-06-24 05:36:59+00:00,1004813.5700000752
2026-06-24 05:37:03+00:00,1004819.0700000752
